"dataset","genus","category","substance","duration of accumulation","exposure route","n (replicate)","Kinetic biaccumulation factor","report","reference","comments"
"<a href='Enchytraeus_La_14d_Huang2020.txt'target='_blank'>Enchytraeus_La_14d_Huang2020.txt</a>","<i>Enchytraeus</i>","terrestrial worm","La","14 days","water","6 (6)","0 </br> [0 - 919]","<a href='Enchytraeus_La_14d_Huang2020.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0269749119373373'target='_blank'>Huang<i> et al.</i> (2020)</a>","6 tested concentrations"
"<a href='Ephemera_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Ephemera_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Ephemera</i>","insect","cypermethrine","24 hours","water","16 (2)","38 </br> [24 - 53]","<a href='Ephemera_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Gammarus_2,4-dichloro-aniline_0.999d_Ashauer2012.txt'target='_blank'>Gammarus_2,4-dichloro-aniline_0.999d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","2,4-dichloro-aniline","0.999 days","water","14 (2)","8 </br> [0 - 6229]","<a href='Gammarus_2,4-dichloro-aniline_0.999d_Ashauer2012.pdf' target='_blank'>Link</a>","<a id='cite-Ashauer2012'target='_blank'></a><a href='http://dx.doi.org/10.1021/es204611h'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_2,4,5-trichlorophenol_0.979d_Ashauer2012.txt'target='_blank'>Gammarus_2,4,5-trichlorophenol_0.979d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","2,4,5-trichlorophenol","0.979 days","water","18 (2)","43 </br> [0 - 47094]","<a href='Gammarus_2,4,5-trichlorophenol_0.979d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_4-nitrobenzyl-chloride_1d_Ashauer2012.csv'target='_blank'>Gammarus_4-nitrobenzyl-chloride_1d_Ashauer2012.csv</a>","<i>Gammarus</i>","aquatic invertebrate","4-nitrobenzyl-chloride","1 days","water","14 (2)","223 </br> [6 - 806025]","<a href='Gammarus_4-nitrobenzyl-chloride_1d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_aldicarb_1d_Ashauer2012.csv'target='_blank'>Gammarus_aldicarb_1d_Ashauer2012.csv</a>","<i>Gammarus</i>","aquatic invertebrate","aldicarb","1 days","water","14 (2)","7 </br> [4 - 18]","<a href='Gammarus_aldicarb_1d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_azoxistrobine_1d_Rosch2016.txt'target='_blank'>Gammarus_azoxistrobine_1d_Rosch2016.txt</a>","<i>Gammarus</i>","aquatic invertebrate","azoxistrobine","1 days","water","38 (2)","3982 </br> [1666 - 7674598]","<a href='Gammarus_azoxistrobine_1d_Rosch2016.pdf' target='_blank'>Link</a>","<a id='cite-Rosch2016'target='_blank'></a><a href=' 
        https://doi.org/10.1021/acs.est.6b01301
    
'>Rosch<i> et al.</i> (2016)</a>","biotransformation"
"<a href='Gammarus_BDE99_7d_Ratier2019_food.txt'target='_blank'>Gammarus_BDE99_7d_Ratier2019_food.txt</a>","<i>Gammarus</i>","aquatic invertebrate","BDE99","7 days","food","8 (1)","0.0473 </br> [0.0335 - 0.0635]","<a href='Gammarus_BDE99_7d_Ratier2019_food.pdf' target='_blank'>Link</a>","<a id='cite-Ratier2019'target='_blank'></a><a href='https://tel.archives-ouvertes.fr/tel-02612792'>Ratier (2019)</a>",""
"<a href='Gammarus_BDE99_7d_Ratier2019_sediment.txt'target='_blank'>Gammarus_BDE99_7d_Ratier2019_sediment.txt</a>","<i>Gammarus</i>","aquatic invertebrate","BDE99","7 days","sediment","8 (1)","0.1629 </br> [0.1233 - 0.2138]","<a href='Gammarus_BDE99_7d_Ratier2019_sediment.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",""
"<a href='Gammarus_carbaryl_0.990d_Ashauer2012.txt'target='_blank'>Gammarus_carbaryl_0.990d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","carbaryl","0.990 days","water","20 (2)","5 </br> [3 - 11]","<a href='Gammarus_carbaryl_0.990d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_carbofuran_0.990d_Ashauer2012.txt'target='_blank'>Gammarus_carbofuran_0.990d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","carbofuran","0.990 days","water","18 (2)","1 </br> [0 - 585]","<a href='Gammarus_carbofuran_0.990d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_chlorpyrifos_0.979d_Ashauer2012.txt'target='_blank'>Gammarus_chlorpyrifos_0.979d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","chlorpyrifos","0.979 days","water","15 (2)","132 </br> [76 - 184]","<a href='Gammarus_chlorpyrifos_0.979d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_Cu_7d_Urien2017.csv'target='_blank'>Gammarus_Cu_7d_Urien2017.csv</a>","<i>Gammarus</i>","aquatic invertebrate","Cu","7 days","water","92 (15)","10116 </br> [9286 - 11029]","<a href='Gammarus_Cu_7d_Urien2017.pdf' target='_blank'>Link</a>","<a id='cite-Urien2017'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0166445X1730303X'>Urien<i> et al.</i> (2017)</a>",NA
"<a href='Gammarus_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Gammarus_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Gammarus</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","202 </br> [128 - 283]","<a href='Gammarus_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Gammarus_diazepam_2d_Miller2017.txt'target='_blank'>Gammarus_diazepam_2d_Miller2017.txt</a>","<i>Gammarus</i>","aquatic invertebrate","diazepam","2 days","water","12 (3)","151 </br> [36 - 182457]","<a href='Gammarus_diazepam_2d_Miller2017.pdf' target='_blank'>Link</a>","<a id='cite-Miller2017'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0045653517307877'>Miller<i> et al.</i> (2017)</a>","biotransformation"
"<a href='Gammarus_dichlorophenol_0.979d_Ashauer2012.txt'target='_blank'>Gammarus_dichlorophenol_0.979d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","dichlorophenol","0.979 days","water","20 (2)","2 </br> [0 - 1866]","<a href='Gammarus_dichlorophenol_0.979d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_HBCD_9d_Ratier2019.txt'target='_blank'>Gammarus_HBCD_9d_Ratier2019.txt</a>","<i>Gammarus</i>","aquatic invertebrate","HBCD","9 days","sediment","17 (2)","0.0363 </br> [0.022 - 0.0499]","<a href='Gammarus_HBCD_9d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Gammarus_malathion_0.99d_Ashauer2012.txt'target='_blank'>Gammarus_malathion_0.99d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","malathion","0.99 days","water","18 (2)","7660 </br> [22 - 818346]","<a href='Gammarus_malathion_0.99d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_Ni_7d_Urien2017.csv'target='_blank'>Gammarus_Ni_7d_Urien2017.csv</a>","<i>Gammarus</i>","aquatic invertebrate","Ni","7 days","water","87 (14)","276 </br> [257 - 294]","<a href='Gammarus_Ni_7d_Urien2017.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X1730303X'target='_blank'>Urien<i> et al.</i> (2017)</a>",NA
"<a href='Gammarus_PCB153_7d_Ratier2019.txt'target='_blank'>Gammarus_PCB153_7d_Ratier2019.txt</a>","<i>Gammarus</i>","aquatic invertebrate","PCB153","7 days","food","11 (3)","0.0702 </br> [0.0602 - 0.0817]","<a href='Gammarus_PCB153_7d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Gammarus_PCB153_7d_Ratier2019_sediment.txt'target='_blank'>Gammarus_PCB153_7d_Ratier2019_sediment.txt</a>","<i>Gammarus</i>","aquatic invertebrate","PCB153","7 days","sediment","9 (2)","0.4038 </br> [0.2502 - 0.7573]","<a href='Gammarus_PCB153_7d_Ratier2019_sediment.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",""
"<a href='Gammarus_PeCB_6d_Ratier2019.txt'target='_blank'>Gammarus_PeCB_6d_Ratier2019.txt</a>","<i>Gammarus</i>","aquatic invertebrate","PeCB","6 days","food","11 (1)","0.0952 </br> [0.0754 - 0.1168]","<a href='Gammarus_PeCB_6d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Gammarus_pentachlorophenol_0.990d_Ashauer2012.txt'target='_blank'>Gammarus_pentachlorophenol_0.990d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","pentachlorophenol","0.990 days","water","20 (2)","105231 </br> [894 - 6452195]","<a href='Gammarus_pentachlorophenol_0.990d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_propranolol_2d_Miller2017.txt'target='_blank'>Gammarus_propranolol_2d_Miller2017.txt</a>","<i>Gammarus</i>","aquatic invertebrate","propranolol","2 days","water","12 (3)","27 </br> [18 - 35]","<a href='Gammarus_propranolol_2d_Miller2017.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0045653517307877'target='_blank'>Miller<i> et al.</i> (2017)</a>","biotransformation"
"<a href='Gammarus_PRZ_1d_Fu2018.txt'target='_blank'>Gammarus_PRZ_1d_Fu2018.txt</a>","<i>Gammarus</i>","aquatic invertebrate","PRZ","1 days","water","38 (2)","132 </br> [122 - 143]","<a href='Gammarus_PRZ_1d_Fu2018.pdf' target='_blank'>Link</a>","<a id='cite-Fu2018'target='_blank'></a><a href='https://doi.org/10.1021/acs.est.8b04057'>Fu<i> et al.</i> (2018)</a>","biotransformation"
"<a href='Gammarus_pyrene_7d_Carrasco-Navarro2015.txt'target='_blank'>Gammarus_pyrene_7d_Carrasco-Navarro2015.txt</a>","<i>Gammarus</i>","aquatic invertebrate","pyrene","7 days","water","28 (4)","145030 </br> [1755 - 8144775]","<a href='Gammarus_pyrene_7d_Carrasco-Navarro2015.pdf' target='_blank'>Link</a>","<a id='cite-Carrasco-Navarro2015'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0141113615300313'>Carrasco-Navarro<i> et al.</i> (2015)</a>","biotransformation"
"<a href='Halophila_Ni_12d_Malea2021.csv'target='_blank'>Halophila_Ni_12d_Malea2021.csv</a>","<i>Halophila</i>","seawater plant","Ni","12 days","water","6 (1)","1 </br> [0 - 55]","<a href='Halophila_Ni_12d_Malea2021.pdf' target='_blank'>Link</a>","<a id='cite-Malea2021'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.ecoenv.2020.111386'>Malea<i> et al.</i> (2021)</a>","7 tested concentrations"
"<a href='Heptagenia_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Heptagenia_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Heptagenia</i>","insect","cypermethrine","24 hours","water","16 (2)","1414 </br> [632 - 54717]","<a href='Heptagenia_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Hyalella_AZ_1d_Fu2018.txt'target='_blank'>Hyalella_AZ_1d_Fu2018.txt</a>","<i>Hyalella</i>","aquatic invertebrate","AZ","1 days","water","38 (2)","15 </br> [12 - 21]","<a href='Hyalella_AZ_1d_Fu2018.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1021/acs.est.8b04057'target='_blank'>Fu<i> et al.</i> (2018)</a>","biotransformation"
"<a href='Hyalella_BaP_3d_Schuler2003.txt'target='_blank'>Hyalella_BaP_3d_Schuler2003.txt</a>","<i>Hyalella</i>","aquatic invertebrate","BaP","3 days","sediment","14 (1)","0.315 </br> [0.27 - 0.365]","<a href='Hyalella_BaP_3d_Schuler2003.pdf' target='_blank'>Link</a>","<a id='cite-Schuler2003'target='_blank'></a><a href='http://dx.doi.org/10.1002/etc.5620220227'>Schuler<i> et al.</i> (2003)</a>",NA
"<a href='Hydropsyche_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Hydropsyche_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Hydropsyche</i>","insect","cypermethrine","24 hours","water","16 (2)","541 </br> [83 - 29813]","<a href='Hydropsyche_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Lumbriculus_BaP_10.5d_Schuler2003.csv'target='_blank'>Lumbriculus_BaP_10.5d_Schuler2003.csv</a>","<i>Lumbriculus</i>","aquatic worm","BaP","10.5 days","sediment","29 (3)","1 </br> [1 - 1]","<a href='Lumbriculus_BaP_10.5d_Schuler2003.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1002/etc.5620220227'target='_blank'>Schuler<i> et al.</i> (2003)</a>","biotransformation"
"<a href='Lumbriculus_cd_14d_Chen2017.txt'target='_blank'>Lumbriculus_cd_14d_Chen2017.txt</a>","<i>Lumbriculus</i>","aquatic worm","cd","14 days","sediment","8 (2)","0.3497 </br> [0.1789 - 0.6237]","<a href='Lumbriculus_cd_14d_Chen2017.pdf' target='_blank'>Link</a>","<a id='cite-Chen2017'target='_blank'></a><a href='http://dx.doi.org/10.1007/s10646-017-1769-4'>Chen<i> et al.</i> (2017)</a>",NA
"<a href='Lumbriculus_fipronil_14d_Wang2019.txt'target='_blank'>Lumbriculus_fipronil_14d_Wang2019.txt</a>","<i>Lumbriculus</i>","aquatic worm","fipronil","14 days","sediment","9 (1)","0.093 </br> [0.0767 - 0.1093]","<a href='Lumbriculus_fipronil_14d_Wang2019.pdf' target='_blank'>Link</a>","<a id='cite-Wang2019'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.scitotenv.2019.03.490'>Wang<i> et al.</i> (2019)</a>",NA
"<a href='Oncorhynchus_2-6dimethyldecane_14d_Lo2015.csv'target='_blank'>Oncorhynchus_2-6dimethyldecane_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","2-6dimethyldecane","14 days","food","27 (3)","3.5e-03 </br> [2.6e-03 - 5e-03]","<a href='Oncorhynchus_2-6dimethyldecane_14d_Lo2015.pdf' target='_blank'>Link</a>","<a id='cite-Lo2015'target='_blank'></a><a href='https://doi.org/10.1002/etc.3050'>Lo<i> et al.</i> (2015)</a>",NA
